ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
286767295,2025-10-09 14:54:55+05:30,,2025-10-09 14:54:55+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286761467,0,4,0.05,0.0,49.122,0.0,0.0,49.122,0.0,XAGUSD.s,[sl 49.122],
286767444,2025-10-09 14:55:17+05:30,,2025-10-09 14:55:17+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286767444,0,3,0.05,0.0,0.0,49.057,49.387,49.167,0.0,XAGUSD.s,Scalper,
286767805,2025-10-09 14:56:26+05:30,,2025-10-09 14:56:26+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286761427,0,4,0.05,0.0,4035.15,0.0,0.0,4035.15,0.0,XAUUSD.s,[sl 4035.15],
286768262,2025-10-09 14:57:22+05:30,,2025-10-09 14:57:22+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286768262,0,3,0.05,0.0,0.0,4030.22,4043.98,4034.78,0.0,XAUUSD.s,MeanReversion,
286768376,2025-10-09 14:57:38+05:30,,2025-10-09 14:57:39+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286767444,0,4,0.05,0.0,49.057,0.0,0.0,49.057,0.0,XAGUSD.s,[sl 49.057],
286771157,2025-10-09 15:02:37+05:30,,2025-10-09 15:02:37+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286771157,0,3,0.05,0.0,0.0,48.996,49.377,49.112,0.0,XAGUSD.s,Scalper,
286771189,2025-10-09 15:02:39+05:30,,2025-10-09 15:02:39+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286771189,0,3,0.05,0.0,0.0,48.99,49.371,49.117,0.0,XAGUSD.s,Pivot,
286771206,2025-10-09 15:02:41+05:30,,2025-10-09 15:02:41+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286771206,0,3,0.05,0.0,0.0,48.99,49.371,49.117,0.0,XAGUSD.s,FibPivot,
286773859,2025-10-09 15:09:08+05:30,,2025-10-09 15:09:08+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,0,286761455,0,1,0.05,0.0,0.0,0.0,0.0,4033.67,0.0,XAUUSD.s,,
286774310,2025-10-09 15:10:01+05:30,,2025-10-09 15:10:02+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286768262,0,4,0.05,0.0,4030.5,0.0,0.0,4030.5,0.0,XAUUSD.s,[sl 4030.50],
286774872,2025-10-09 15:10:53+05:30,,2025-10-09 15:10:53+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286774872,0,3,0.05,0.0,0.0,4024.14,4040.8,4029.81,0.0,XAUUSD.s,MeanReversion,
286777428,2025-10-09 15:15:58+05:30,,2025-10-09 15:15:58+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286761437,0,3,0.05,0.0,0.0,0.0,0.0,4028.91,0.0,XAUUSD.s,Close Position,
286777584,2025-10-09 15:16:30+05:30,,2025-10-09 15:16:31+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286771157,0,4,0.05,0.0,49.021,0.0,0.0,49.021,0.0,XAGUSD.s,[sl 49.021],
286777614,2025-10-09 15:16:33+05:30,,2025-10-09 15:16:33+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286771189,0,4,0.05,0.0,49.02,0.0,0.0,49.02,0.0,XAGUSD.s,[sl 49.020],
286777615,2025-10-09 15:16:33+05:30,,2025-10-09 15:16:33+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286771206,0,4,0.05,0.0,49.02,0.0,0.0,49.02,0.0,XAGUSD.s,[sl 49.020],
286777734,2025-10-09 15:17:00+05:30,,2025-10-09 15:17:01+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286777734,0,3,0.05,0.0,0.0,4033.96,4017.7,4028.55,0.0,XAUUSD.s,Pivot,
286778574,2025-10-09 15:18:26+05:30,,2025-10-09 15:18:26+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286774872,0,4,0.05,0.0,4025.91,0.0,0.0,4025.91,0.0,XAUUSD.s,[sl 4025.91],
286779020,2025-10-09 15:19:03+05:30,,2025-10-09 15:19:03+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286766571,0,4,0.57,0.0,25142.69,0.0,0.0,25142.69,0.0,NAS100.s,[sl 25142.69],
286779042,2025-10-09 15:19:05+05:30,,2025-10-09 15:19:05+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286779042,0,3,0.05,0.0,0.0,4019.71,4037.41,4025.55,0.0,XAUUSD.s,MeanReversion,
286779078,2025-10-09 15:19:08+05:30,,2025-10-09 15:19:08+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286779078,0,3,0.05,0.0,0.0,48.73,49.226,48.903,0.0,XAGUSD.s,MeanReversion,
286780777,2025-10-09 15:22:11+05:30,,2025-10-09 15:22:11+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286779078,0,4,0.05,0.0,48.743,0.0,0.0,48.743,0.0,XAGUSD.s,[sl 48.743],
286780853,2025-10-09 15:22:18+05:30,,2025-10-09 15:22:18+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286780853,0,3,0.05,0.0,0.0,48.604,49.162,48.797,0.0,XAGUSD.s,MeanReversion,
286781631,2025-10-09 15:23:25+05:30,,2025-10-09 15:23:25+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286781631,0,3,0.52,0.0,0.0,25120.54,25163.52,25135.17,0.0,NAS100.s,MeanReversion,
286784500,2025-10-09 15:30:20+05:30,,2025-10-09 15:30:20+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286763264,0,4,0.05,0.0,48.974,0.0,0.0,48.974,0.0,XAGUSD.s,[sl 48.974],
286784501,2025-10-09 15:30:20+05:30,,2025-10-09 15:30:20+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286763272,0,4,0.05,0.0,48.974,0.0,0.0,48.974,0.0,XAGUSD.s,[sl 48.974],
286785690,2025-10-09 15:33:02+05:30,,2025-10-09 15:33:02+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286763846,0,4,0.56,0.0,25143.2,0.0,0.0,25143.2,0.0,NAS100.s,[sl 25143.20],
286786074,2025-10-09 15:33:59+05:30,,2025-10-09 15:33:59+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286777734,0,4,0.05,0.0,4029.91,0.0,0.0,4029.91,0.0,XAUUSD.s,[sl 4029.91],
286786826,2025-10-09 15:35:53+05:30,,2025-10-09 15:35:53+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286786826,0,3,0.05,0.0,0.0,4035.24,4015.17,4028.55,0.0,XAUUSD.s,Pivot,
286786834,2025-10-09 15:35:55+05:30,,2025-10-09 15:35:55+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286786834,0,3,0.05,0.0,0.0,4035.32,4015.25,4028.63,0.0,XAUUSD.s,FibPivot,
286786844,2025-10-09 15:35:58+05:30,,2025-10-09 15:35:58+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286786844,0,3,0.47,0.0,0.0,25154.92,25107.07,25139.02,0.0,NAS100.s,Pivot,
286786853,2025-10-09 15:35:59+05:30,,2025-10-09 15:35:59+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286786853,0,3,0.47,0.0,0.0,25155.47,25107.62,25139.17,0.0,NAS100.s,FibPivot,
286789055,2025-10-09 15:42:13+05:30,,2025-10-09 15:42:13+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286789055,0,3,0.05,0.0,0.0,49.255,48.669,49.057,0.0,XAGUSD.s,Pivot,
286789062,2025-10-09 15:42:15+05:30,,2025-10-09 15:42:15+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286789062,0,3,0.05,0.0,0.0,49.251,48.665,49.057,0.0,XAGUSD.s,FibPivot,
286790083,2025-10-09 15:45:30+05:30,,2025-10-09 15:45:30+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286779042,0,4,0.05,0.0,4025.75,0.0,0.0,4025.75,0.0,XAUUSD.s,[sl 4025.75],
286791133,2025-10-09 15:48:30+05:30,,2025-10-09 15:48:31+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286791133,0,3,0.05,0.0,0.0,4019.38,4040.29,4026.41,0.0,XAUUSD.s,Scalper,
286795286,2025-10-09 16:00:47+05:30,,2025-10-09 16:00:47+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286781631,0,4,0.52,0.0,25129.47,0.0,0.0,25129.47,0.0,NAS100.s,[sl 25129.47],
286796826,2025-10-09 16:03:49+05:30,,2025-10-09 16:03:49+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286796826,0,3,0.44,0.0,0.0,25110.32,25161.46,25127.42,0.0,NAS100.s,MeanReversion,
286801838,2025-10-09 16:16:22+05:30,,2025-10-09 16:16:23+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286786844,0,4,0.47,0.0,25143.52,0.0,0.0,25143.52,0.0,NAS100.s,[sl 25143.52],
286801839,2025-10-09 16:16:22+05:30,,2025-10-09 16:16:23+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286786853,0,4,0.47,0.0,25143.47,0.0,0.0,25143.47,0.0,NAS100.s,[sl 25143.47],
286801884,2025-10-09 16:16:28+05:30,,2025-10-09 16:16:28+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286786826,0,4,0.05,0.0,4032.55,0.0,0.0,4032.55,0.0,XAUUSD.s,[sl 4032.55],
